label,qid,track,start,end,score,desc
Sun Tzu,Q37151,26,-544,-496,112,6th century BCE Chinese general and military strategist
Lucius Tarquinius Superbus,Q193047,27,-600,-495,57,king of Rome from 535 to 509 BC
Cleisthenes,Q207634,28,-565,-492,58,late 6th century Athenian politician and reformer
Pythagoras,Q10261,29,-550,-490,160,Greek philosopher and mathematician (c. 570 – c. 495 BC)
Miltiades,Q210350,30,-550,-489,49,Greek Athenian statesman and general (c.550–489 BC)
Darius the Great,Q44387,31,-550,-486,99,The fourth and greatest Achaemenid emperor (522–486 BC)
Anacreon,Q213484,32,-570,-485,55,"ancient Greek lyric poet, notable for his drinking songs and hymns"
Śāriputra,Q320142,33,-568,-484,46,chief disciple of Gautama Buddha
The Buddha,Q9441,34,-563,-483,214,Indian philosopher and the founder of Buddhism (623 or 563 BCE – 543 or 483 BCE)
Confucius,Q4604,35,-552,-479,239,5th-century BCE Chinese philosopher and politician
Xenophanes,Q131671,36,-570,-478,73,Greek Pre-Socratic philosopher (c.570–c.478 BC)
Heraclitus,Q41155,37,-535,-470,97,Greek philosopher (late 6th/early 5th-century BC)
Parmenides,Q125551,38,-515,-470,86,late 6th/early 5th century BC Greek pre-Socratic philosopher
Simonides of Ceos,Q273003,39,-556,-468,44,Greek lyric poet (c. 556–468 BC)
Xerxes I,Q129165,40,-519,-465,84,The fifth Achaemenid emperor (486–465 BC)
Pāṇini,Q189725,41,-520,-460,73,ancient Sanskrit grammarian
Ajatashatru,Q379242,42,-500,-460,41,King of Magadha Empire from c. 492 to 460 BCE
Themistocles,Q179552,43,-524,-459,71,Athenian politician and general (c. 524–459 BC)
Aeschylus,Q40939,44,-525,-456,104,ancient Athenian playwright
Bacchylides,Q310681,45,-516,-451,37,Greek lyric poet (c. 518 – c. 451 BC)
Pindar,Q134929,46,-522,-450,68,ancient Greek lyric poet
Cimon,Q218102,47,-510,-450,42,Athenian statesman
Epicharmus of Cos,Q312410,48,-524,-435,32,late 6th/early 5th century BC Greek dramatist and philosopher
Lucius Quinctius Cincinnatus,Q309637,49,-519,-430,41,two time Roman dictator
Empedocles,Q83375,50,-490,-430,84,5th century BC Greek philosopher
Phidias,Q177302,51,-490,-430,70,"Greek sculptor, painter and architect (c.480–430 BC)"
Pericles,Q80398,52,-494,-429,94,"Athenian statesman, orator and general (c. 495 – 429 BC)"
Anaxagoras,Q83041,53,-500,-428,81,5th-century BC Greek philosopher
Zeno of Elea,Q132157,54,-490,-425,78,Greek philosopher (c. 495 – c. 430 BC)
Herodotus,Q26825,55,-484,-425,147,Greek historian and geographer (c.484–c.425 BC)
Artaxerxes I,Q189689,56,-500,-424,66,sixth Achaemenid emperor (475–424 BC)
Protagoras,Q169243,57,-486,-420,72,Pre-Socratic Greek philosopher (c.490–c.420 BC)
Hippocrates of Chios,Q312629,58,-470,-410,40,5th-century BC Greek mathematician and astronomer
Sophocles,Q7235,59,-496,-406,154,ancient Greek playwright
Euripides,Q48305,60,-480,-406,100,Classical Athenian playwright
Alcibiades,Q187982,61,-450,-404,67,Athenian statesman
Socrates,Q913,62,-470,-399,205,5th-century BCE Greek philosopher
Thucydides,Q41683,0,-460,-395,93,5th-century BC Athenian historian and general
Mozi,Q272411,1,-470,-391,56,5th-century BC Chinese philosopher and founder of Mohism
Aristophanes,Q43353,2,-448,-386,101,Classical Athenian comic playwright (c. 446 – c. 386 BC)
Hippocrates,Q5264,3,-460,-370,123,Greek physician (c. 460 – c. 370 BC)
Amyntas III of Macedon,Q313907,4,-450,-370,33,king of Macedonia from 393/2 to 370 BC
Dionysius I of Syracuse,Q332750,5,-430,-367,41,Greek tyrant of Syracuse (c. 432 – 367 BC)
Antisthenes,Q179149,6,-445,-365,62,"Greek philosopher, founder of Cynicism (c.446–c.366 BCE)"
Nectanebo I,Q175775,7,-450,-362,40,4th-century BC Egyptian pharaoh
Epaminondas,Q190436,8,-418,-362,53,Theban general and statesman (419/411–362 BC)
Democritus,Q41980,9,-460,-360,106,Greek philosopher (c. 460–c. 370 BC)
Eudoxus of Cnidus,Q185150,10,-408,-355,65,Greek astronomer and mathematician (c.408–c.355 BC)
Xenophon,Q129772,11,-430,-354,92,"Greek philosopher, historian, soldier (c. 430–355/354 BC)"
Plato,Q859,12,-427,-347,220,4th-century BCE Greek philosopher
Archytas,Q202001,13,-430,-345,57,"4th-century BC Greek philosopher, mathematician, astronomer and statesman"
Nectanebo II,Q313126,14,-400,-343,44,last Egyptian pharaoh of the 30th dynasty
Isocrates,Q221182,15,-436,-338,48,Greek rhetorician and writer (436–338 BC)
Artaxerxes III,Q192867,16,-425,-338,58,The 11th Achaemenid Emperor (358–338 BC)
Philip II of Macedon,Q130650,17,-385,-336,82,King of Macedon from 359 to 336 BC
Praxiteles,Q105290,18,-395,-330,53,Attic sculptor
Darius III,Q102865,19,-380,-330,77,last king of the Achaemenid Empire (r. 336–330 BC)
Bessus,Q296434,20,-400,-329,45,Achaemenid satrap and pretender to throne (died 329 BC)
Diogenes,Q59180,21,-412,-323,84,4th-century BC Greek Cynic philosopher
Alexander the Great,Q8409,22,-356,-323,220,king of Macedonia and conqueror of Achaemenid Persia (356–323 BC)
Aristotle,Q868,23,-384,-322,231,4th-century BCE Classical Greek philosopher and polymath
Demosthenes,Q117253,24,-384,-322,76,classical Athenian statesman and orator (384–322 BC)
Antipater,Q204760,25,-397,-319,46,Macedonian general and regent
Porus,Q28935,26,-400,-316,51,ancient Indian king
Olympias,Q223134,27,-375,-316,51,mother of Alexander the Great
Eumenes,Q297366,28,-362,-316,37,Greek general and satrap (c. 362 – 316 BC)
Apelles,Q216822,29,-370,-306,48,4th century BC Greek painter
Antigonus I Monophthalmus,Q200401,30,-382,-301,51,"Macedonian general, founder of Antigonid dynasty (382–301 BC)"
Lysippos,Q192222,31,-390,-300,49,4th-century BC Greek sculptor
Chandragupta Maurya,Q188541,32,-340,-297,82,founder of the Maurya Empire (350–295 BCE)
Cassander,Q207183,33,-355,-296,46,king of Macedonia
Menander,Q118992,34,-340,-292,70,Athenian playwright of New Comedy
Megasthenes,Q312548,35,-350,-290,43,ancient Greek ethnographer and explorer
Mencius,Q188903,36,-372,-289,76,Chinese Confucian philosopher (372–289 BC)
Pytheas,Q189971,37,-359,-289,58,ancient Greek explorer
Zhuang Zhou,Q47739,38,-369,-288,71,Chinese Taoist philosopher (c. 369–286 BC)
Theophrastus,Q160362,39,-371,-287,74,Greek philosopher (c.371-c.287 BC)
Ptolemy I Soter,Q168261,40,-365,-285,78,"Macedonian general, ruler of Egypt"
Chanakya,Q9045,41,-375,-283,125,4th-century BCE Indian statesman and philosopher
Demetrius I Poliorcetes,Q59734,42,-336,-283,44,king of Macedon
Lysimachus,Q32133,43,-361,-281,50,"Macedonian officer, one of Alexander's successor kings"
Seleucus I Nicator,Q184176,44,-358,-281,73,general of Alexander and founder of the Seleucid dynasty
Qu Yuan,Q313330,45,-343,-278,58,Chinese poet and politician (c.340–278 BC)
Bindusara,Q315526,46,-320,-273,53,Mauryan Emperor
Pyrrhus of Epirus,Q172353,47,-318,-272,75,king of Epirus from 307 to 302 and 297 to 272 BC
Pyrrho,Q192313,48,-360,-270,50,Greek philosopher and founder of Pyrrhonism (c.360-c.270 BC)
Epicurus,Q43216,49,-342,-270,100,ancient Greek philosopher
Zeno of Citium,Q171303,50,-334,-263,70,"Greek philosopher, founder of Stoicism"
Ptolemy II Philadelphus,Q39576,51,-308,-246,67,king of the Ptolemaic dynasty in Egypt (308–246 B.C.)
Callimachus,Q192417,52,-320,-243,53,"3rd-century BC Greek poet, scholar and librarian"
Aratus,Q180671,53,-315,-240,39,Greek didactic poet (c. 315/310–240 BC)
Ashoka,Q8589,54,-304,-232,164,Mauryan emperor from 268 to 232 BCE
Han Fei,Q28959,55,-279,-232,59,"Chinese Legalist, 280–233 BCE"
Xunzi (philosopher),Q216072,56,-313,-230,57,Chinese Confucian philosopher (c. 310 – after 238 BCE)
Aristarchus of Samos,Q140188,57,-310,-230,72,Greek astronomer and mathematician (c.310–c.230 BC)
Hamilcar Barca,Q185101,58,-275,-228,59,Carthaginian general
Ptolemy III Euergetes,Q39602,59,-284,-222,55,Egyptian pharaoh
Hiero II of Syracuse,Q313675,60,-308,-215,41,3rd-century BC Sicilian Greek ruler
Apollonius of Rhodes,Q192638,61,-295,-215,52,3rd century BC Greek epic poet
Archimedes,Q8739,62,-287,-212,191,Greek mathematician and physicist (c. 287 – c. 212 BC)
Qin Shi Huang,Q7192,63,-259,-210,185,first emperor of Qin Dynasty
Li Si,Q152919,64,-280,-208,47,Chinese politician of the Qin Dynasty
Marcus Claudius Marcellus,Q312306,65,-270,-208,34,"general and five time consul of the Roman Republic, awarded the Spolia opima for his victories during the Gallic and Punic Wars"
Hasdrubal Barca,Q311702,66,-245,-207,40,Carthaginian general (245–207 BC)
Quintus Fabius Pictor,Q313500,67,-254,-201,31,3rd-century BC Roman historian
Livius Andronicus,Q193058,68,-280,-200,55,3rd-century BC Greco-Roman dramatist and epic poet
Emperor Gaozu of Han,Q7210,69,-256,-195,61,founding emperor of the Han dynasty (256–195 BC)
Eratosthenes,Q43182,70,-276,-194,102,"Greek mathematician, geographer, poet, astronomer, librarian and music theorist"
Apollonius of Perga,Q180109,71,-262,-190,69,ancient Greek geometer and astronomer noted for his writings on conic sections
Antiochus III the Great,Q3365,72,-242,-187,62,sixth Seleucid emperor (223–187 BC)
Plautus,Q47160,73,-250,-184,67,Roman comic playwright (c. 254 – 184 BC)
Philopoemen,Q366117,74,-253,-183,34,ancient Greek general
Hannibal,Q36456,75,-247,-183,116,Carthaginian general (247–183/181 BC)
Scipio Africanus,Q2253,76,-235,-183,68,Roman general and politician (236/235–183 BC)
Modu Chanyu,Q382816,77,-234,-174,41,Chanyu of the Xiongnu Empire from 209 to 174 BCE
Ennius,Q47130,78,-239,-169,50,Roman writer and poet (c. 239 – c. 169 BC)
Antiochus IV Epiphanes,Q3356,79,-215,-164,55,king of the Seleucid Empire (175–164 BC)
Kaṇāda,Q29049,80,-200,-160,49,Vedic sage and founder of Deepak school of Hindu philosophy
Terence,Q172048,81,-185,-159,62,Roman comic playwright (2nd cent. BC)
Cato the Elder,Q180081,82,-234,-149,70,"Roman politician, soldier and writer (234–149 BC)"
Masinissa,Q314685,83,-238,-148,45,first king of Numidia from 202 BC to 148 BC
Tiberius Gracchus,Q212109,0,-162,-133,52,ancient Rome politician
Mithridates I of Parthia,Q312442,1,-195,-132,49,king of Parthian Empire from 165 to 132 BC
Carneades,Q284994,2,-213,-129,43,ancient Greek philosopher
Scipio Aemilianus,Q2307,3,-185,-129,46,Roman politician and general (185–129 BC)
Gaius Gracchus,Q297183,4,-154,-122,44,ancient Roman politician
Polybius,Q131169,5,-200,-120,70,ancient Greek historian
Hipparchus,Q159905,6,-190,-120,77,"2nd century Greek astronomer, geographer and mathematician"
Zhang Qian,Q197276,7,-200,-114,41,imperial envoy to the world outside of China in the 2nd century BC
Dong Zhongshu,Q445626,8,-179,-104,31,"Premier Confucian scholar, philosopher, and official during the Western Han"
Jugurtha,Q156173,9,-160,-104,47,King of the Berber kingdom of Numidia (present-day Algeria)
Emperor Wu of Han,Q7225,10,-156,-87,68,seventh emperor of the Han dynasty of China (157 BC–87 BC)
Gaius Marius,Q177975,11,-157,-86,65,"Roman general, statesman and military reformer (157-86 BC)"
Sima Qian,Q9372,12,-145,-86,124,2nd-century BCE Chinese historian and writer
Sulla,Q483783,13,-138,-78,68,Roman dictator and general
Quintus Sertorius,Q296238,14,-123,-72,39,Roman rebel leader (Sertorian War)
Spartacus,Q83406,15,-103,-71,86,Thracian gladiator who led a slave uprising against the Roman Republic
Mithridates VI Eupator,Q185126,16,-134,-63,65,ruler of the Kingdom of Pontus from 120 to 63 BC
Catiline,Q75826,17,-108,-62,47,"Roman politician, senator and soldier (c.108–62 BC)"
Tigranes the Great,Q201303,18,-140,-55,73,king of Armenia
Lucretius,Q47154,19,-94,-55,81,1st-century BC Roman poet and philosopher
Catullus,Q163079,20,-84,-54,74,lyric Latin poet of the Roman Republic
Marcus Licinius Crassus,Q175121,21,-115,-53,69,member of the First Triumvirate
Posidonius,Q185770,22,-135,-51,55,Greek Stoic philosopher (c.135 – c.51 BC)
Ptolemy XII Auletes,Q39991,23,-117,-51,50,1st-century BC Egyptian pharaoh
Pompey,Q125414,24,-106,-48,88,Roman general and statesman (106–48 BC)
Cato the Younger,Q193506,25,-95,-46,52,"Roman statesman, general and writer (95–46 BC)"
Vercingetorix,Q178953,26,-80,-46,68,"protohistoric chieftain of the Arverni tribe, defeated by Julius Caesar during the Gallic wars"
Julius Caesar,Q1048,27,-100,-44,217,Roman general and dictator
Cicero,Q1541,28,-106,-43,135,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)"
Marcus Junius Brutus,Q172248,29,-85,-42,65,assassin of Julius Caesar
Sallust,Q7170,30,-86,-35,52,Roman historian and politician (86 BC - c. 35 BC)
Mark Antony,Q51673,31,-83,-30,92,Roman politician and general (83 BC – 30 BC)
Cleopatra,Q635,32,-69,-30,158,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE
Diodorus Siculus,Q171241,33,-90,-20,72,1st-century BC Greek historian
Virgil,Q1398,34,-70,-19,177,Roman poet (1st century BC)
Vitruvius,Q47163,35,-80,-15,80,Roman architect and engineer
Horace,Q6197,36,-65,-8,103,Roman lyric poet (65 BC – 8 BC)
Herod the Great,Q51672,37,-74,-4,73,king of Judea from 37/6 BCE to 4/1 BCE
Hillel the Elder,Q319219,38,-50,8,33,Jewish religious leader of the 1st century
Augustus,Q1405,39,-63,14,214,first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Livy,Q2039,40,-59,17,89,Roman historian (59 BC – AD 17)
Ovid,Q7198,41,-43,17,143,Roman poet (43 BC – 17/18 AD)
Saint Joseph,Q128267,42,-30,20,90,Christian saint; husband of Mary and father of Jesus
Arminius,Q68880,43,-17,21,75,"1st century chieftain of the Germanic Cherusci tribe, defeated the Romans in 9 AD"
Strabo,Q45936,44,-64,23,95,"Greek geographer, philosopher and historian (64/63 BC–c.24 AD)"
Wang Mang,Q7250,45,-45,23,49,Han dynasty official and founding Emperor of the Xin Dynasty (c.45 BC-23 AD)
Jesus,Q302,46,-7,30,281,central figure of Christianity (6 or 4 BC – AD 30 or 33) (5-33)
John the Baptist,Q40662,47,-6,30,115,1st-century Jewish itinerant preacher (Bible)
Tiberius,Q1407,48,-42,37,104,second Roman Emperor from 14 to 37 AD
Caligula,Q1409,49,12,41,116,third Roman emperor (37–41)
James the Great,Q43999,50,1,44,88,one of the Twelve Apostles of Jesus
Philo,Q189597,51,-15,45,57,Hellenistic Jewish philosopher who lived in Alexandria (c. 20 BCE-c. 50 CE)
"Mary, mother of Jesus",Q345,52,-18,48,162,mother of Jesus Christ
Claudius,Q1411,53,-10,54,97,fourth Roman emperor (41–54)
Boudica,Q184634,54,30,61,76,queen of the British Iceni tribe
Seneca the Younger,Q2054,55,-4,65,100,"Roman Stoic philosopher, statesman and dramatist (c. 4 BCE–65 CE)"
Saint Peter,Q33923,56,-1,65,129,apostle of Jesus Christ
Paul the Apostle,Q9200,57,5,66,154,Early Christian apostle and missionary (c. AD 5 – c. 64/65)
Mark the Evangelist,Q31966,58,12,68,84,credited author of the Gospel of Mark and Christian saint; traditionally identified with John Mark (20-68)
Nero,Q1413,59,37,68,113,fifth and last Roman Emperor of Julio-Claudian dynasty (54–68)
Thomas the Apostle,Q43669,60,1,72,83,Apostle of Jesus Christ
Matthew the Apostle,Q43600,61,10,74,92,Christian evangelist and apostle (10-74)
Vespasian,Q1419,62,9,79,91,ninth Roman Emperor and founder of the Flavian dynasty (69–79)
Pope Linus,Q47144,63,10,79,97,2nd Pope of the Catholic Church
Pliny the Elder,Q82778,64,20,79,91,1st-century Roman military commander and writer
Philip the Apostle,Q43675,65,5,80,74,Christian saint and apostle
Kujula Kadphises,Q560157,66,20,80,31,Founder of the Kushan empire (30–80)
Titus,Q1421,67,41,81,90,tenth Roman Emperor (79–81)
Dioscorides,Q297776,68,40,90,49,Greco-Roman physician and pharmacologist (AD c.40-90)
Domitian,Q1423,69,51,96,92,11th Roman Emperor (81–96)
Nerva,Q1424,70,30,98,82,12th Roman Emperor (96–98)
John the Apostle,Q44015,71,11,99,86,"apostle of Jesus; son of Zebedee and Salome, brother of James; traditionally identified with John the Evangelist, John of Patmos, and the Beloved Disciple"
Josephus,Q134461,72,37,100,75,Roman–Jewish historian and military leader (c. 37–c. 100)
Martial,Q2098,73,40,104,56,1st-century Latin poet from Hispania
Decebalus,Q28928,0,100,106,46,king of Dacia
Simon the Zealot,Q12871,1,100,107,75,apostle of Jesus
Ignatius of Antioch,Q44170,2,35,108,65,late 1st/early 2nd century Christian author and Patriarch of Antioch
Pliny the Younger,Q168707,3,61,113,75,"Roman lawyer, author and magistrate (61 – c.113)"
Pope Alexander I,Q80028,4,100,116,85,6th Pope of the Catholic Church from c. 107 to c. 115
Trajan,Q1425,5,53,117,111,13th Roman Emperor (98–117)
Plutarch,Q41523,6,40,120,101,Greek philosopher and historian (c. AD 46 – after AD 119)
Tacitus,Q2161,7,56,120,92,Roman historian and senator (c. 56 – c. 120)
Cai Lun,Q229235,8,48,121,73,Chinese official credited with inventing paper (died 121)
Apollodorus of Damascus,Q189375,9,50,125,45,2nd century Syrian Roman architect and engineer
Suetonius,Q10133,10,70,126,70,late 1st/early 2nd-century Roman historian
Epictetus,Q183144,11,50,138,71,Greek Stoic philosopher (c. 50–c. 138)
Hadrian,Q1427,12,76,138,98,14th Roman Emperor (117–138)
Zhang Heng,Q197206,13,78,139,62,Chinese scientist and statesman (78–139)
Kanishka,Q312544,14,78,144,52,the fourth and greatest Kushan emperor (127–150)
Papias of Hierapolis,Q273053,15,70,150,40,"Greek Apostolic Father, Bishop of Hierapolis and author (c.60-c.130 AD)"
Aśvaghoṣa,Q312552,16,80,150,45,2nd century Buddhist Indian poet and philosopher
Polycarp,Q192371,17,69,155,55,Christian bishop of Smyrna
Marcion of Sinope,Q201346,18,85,160,46,Anatolian Christian theologian (c.85–c.160)
Antoninus Pius,Q1429,19,86,161,89,15th Roman Emperor (138–161)
Ptolemy,Q34943,20,100,170,122,"2nd-century Roman mathematician, astronomer, geographer"
Apuleius,Q170512,21,125,170,76,"2nd-century Numidian Latin-language writer, rhetorician and philosopher"
Arrian,Q31845,22,89,175,56,"2nd century Greek historian, official and philosopher"
Pausanias (geographer),Q192931,23,110,180,55,"ancient Greek geographer, travel writer and mythographer"
Gaius (jurist),Q313439,24,120,180,40,Roman jurist (2nd century AD)
Marcus Aurelius,Q1430,25,121,180,116,16th Roman Emperor from 161 to 180 and Stoic philosopher
Commodus,Q1434,26,161,192,81,17th Roman Emperor (180–192)
Lucian,Q177847,27,120,200,73,2nd-century Syrian satirist and rhetorician
Irenaeus,Q182123,28,130,202,63,2nd-century Greek bishop and Doctor of the Church
Papinian,Q315765,29,142,211,39,Roman jurist (142–212)
Septimius Severus,Q1442,30,146,211,86,Roman emperor from 193 to 211
Clement of Alexandria,Q188883,31,150,215,59,Christian theologian (c.150 – c.215)
Julia Domna,Q229246,32,165,217,43,ancient Roman empress
Caracalla,Q1446,33,188,217,86,Roman emperor from 198 to 217
Macrinus,Q1752,34,164,218,78,Roman emperor from 217 to 218
Tertullian,Q174929,35,150,220,69,Roman Christian theologian and writer (c. 155 – c. 220)
Cao Cao,Q204077,36,155,220,62,Chinese warlord and statesman (155–220)
Guan Yu,Q222797,37,162,220,46,Chinese general serving warlord Liu Bei (160-220)
Elagabalus,Q1762,38,203,222,80,Roman Emperor (218-222)
Liu Bei,Q245315,39,161,223,45,Chinese warlord and founding Emperor of Shu Han (161–223)
Cao Pi,Q313333,40,187,226,45,Cao Wei Emperror (187-226)
Cassius Dio,Q185223,41,150,229,65,Greco-Roman statesman and historian (c. 155–c. 235)
Zhuge Liang,Q198211,42,181,234,48,Chinese statesman and military strategist (181–234)
Severus Alexander,Q1769,43,208,235,77,Roman Emperor (208-235)
Maximinus Thrax,Q1777,44,173,238,72,Roman Emperor (173-238)
Ardashir I,Q371319,45,180,242,63,founder of the Sassanid Empire (224–242)
Philip the Arab,Q1817,46,204,249,76,Roman Emperor (204-249)
Nagarjuna,Q171195,47,150,250,108,3rd-century Indian Buddhist philosopher
Herodian,Q313056,48,170,250,37,Greco-Roman official and historian (c.170–c.240)
Sima Yi,Q353698,49,179,251,33,"Chinese general, politician and regent (179-251)"
Origen,Q170472,50,185,254,68,"Christian scholar, ascetic, and theologian (c. 185 – c. 253)"
Gallienus,Q104475,51,218,268,67,Roman emperor (218-268)
Plotinus,Q134189,52,205,270,78,Hellenistic Platonist philosopher and founder of Neoplatonism (c. 204/5–270)
Mani (prophet),Q203922,53,216,274,70,3rd century prophet and founder of Manichaeism
Aurelian,Q46780,54,214,275,82,Roman Emperor (C.E.214-275)
Zenobia,Q189705,55,240,275,60,3rd-century Queen of the Palmyrene Empire
Emperor Wu of Jin,Q7356,56,236,290,35,Emperor of the Jin Dynasty from 266 to 290
Liu Hui,Q316304,57,225,295,38,Chinese mathematician from Cao Wei (Three Kingdoms period)
Galen,Q8778,58,200,300,117,"2nd-century Greek physician, surgeon and philosopher"
Porphyry of Tyre,Q203445,59,233,301,57,3rd-century Greek Neoplatonist philosopher
Saint George,Q48438,60,275,303,88,Christian saint and martyr (died 303)
Diocletian,Q43107,61,244,316,87,Augustus of the Eastern Roman Empire (244-311)
Iamblichus,Q310916,62,240,320,47,Syrian Neoplatonist philosopher (c. 245 – c. 325)
Tiridates III of Armenia,Q172520,63,255,330,35,King of Armenia and Saint
Pope Sylvester I,Q47149,64,300,335,85,33rd pope and saint (reigned 314-335)
Arius,Q106026,65,250,336,72,Cyrenaic presbyter and founder of Arianism (died 336)
Constantine the Great,Q8413,66,272,337,141,Roman emperor from 306 to 337 and first to convert to Christianity (272–337)
Eusebius,Q142999,67,265,339,66,"Greek Christian scholar, c.260-c.340"
Saint Nicholas,Q44269,68,250,350,99,4th-century Christian bishop and saint
Pappus of Alexandria,Q211783,69,290,350,50,4th century Greek mathematician
Anthony the Great,Q170547,0,251,357,67,"Egyptian Christian monk, hermit, and saint (died 356)"
Hosius of Corduba,Q285693,1,256,357,30,Spanish bishop (256–359)
Constantius II,Q46418,2,317,361,72,Roman emperor (317-361)
Wang Xizhi,Q378564,3,321,361,34,Chinese calligrapher (c. 321 – c. 361)
Saint Marinus,Q544981,4,275,366,39,Sammarinese saint
Hilary of Poitiers,Q44344,5,315,367,55,Bishop of Poitiers (c. 310 – c. 367)
Athanasius of Alexandria,Q44024,6,296,373,69,Pope of Alexandria from 328 to 373 (296–373)
Ephrem the Syrian,Q200608,7,306,373,48,"Syriac saint, theologian and writer (c. 306 – 373)"
Valentinian I,Q46720,8,321,375,73,Roman emperor from 364 to 375
Ermanaric,Q28987,9,291,376,38,Greuthungian Gothic King
Shapur II,Q234860,10,309,379,61,The tenth Sasanian emperor (309–379)
Basil of Caesarea,Q44258,11,329,379,72,"4th-century Christian bishop, theologian, and saint (329–379)"
Samudragupta,Q1133363,12,335,380,51,4th-century ruler of the Gupta Empire
Pope Damasus I,Q130997,13,305,384,80,pope
Cyril of Jerusalem,Q298654,14,313,386,45,"Christian theologian, bishop, and saint (c. 313 – 386)"
Gregory of Nazianzus,Q44011,15,329,389,70,Christian saint and theologian (c. 329 – 390)
Gregory of Nyssa,Q191734,16,335,395,55,bishop of Nyssa
Theodosius I,Q46696,17,347,395,88,Roman emperor from 379 to 395
Martin of Tours,Q133704,18,316,397,77,Christian saint
Ambrose,Q43689,19,339,397,79,Roman theologian and Bishop of Milan (c. 340–397)
Vasubandhu,Q316343,20,300,399,45,4th/5th century Indian Buddhist monk
Theon of Alexandria,Q354384,21,335,400,33,ancient Greek scholar
John Chrysostom,Q43706,22,349,407,75,"Church Father, Archbishop of Constantinople and Christian saint (c. 347–407)"
Stilicho,Q203636,23,359,408,51,Roman army general (c.359 – 408)
Arcadius,Q159369,24,377,408,72,Roman Emperor from 395–408 (377-408)
Alaric I,Q102371,25,400,410,77,King of the Visigoths
Kumārajīva,Q335293,26,344,413,44,Kuchan Buddhist monk and translator (344-413)
Gwanggaeto the Great,Q498791,27,374,413,34,King of the Goguryeo dynasty of Korea (374–413) (r. 391–413)
Hypatia,Q11903,28,360,415,101,Greek Neoplatonist philosopher
Lushan Huiyuan,Q1194206,29,334,416,30,Chinese Buddhist monk (334–416)
Jerome,Q44248,30,345,420,86,4th and 5th-century Catholic and Eastern Orthodox saint and Doctor of the Church
Faxian,Q312978,31,340,422,46,"Chinese Buddhist monk (bhikkhu), pilgrim to India, and travelogue author during the Jin and Liu Song dynasties"
Tao Yuanming,Q314210,32,365,427,37,Chinese poet (365–427)
Augustine of Hippo,Q8018,33,354,430,164,"Christian theologian, philosopher, and saint (354–430)"
Bahram V,Q299271,34,406,438,48,The 15th Sassanid Emperor (421–438)
Mesrop Mashtots,Q104804,35,362,440,68,Armenian theologian and linguist (362–440)
Socrates of Constantinople,Q336198,36,380,440,42,5th century Greek Christian church historian
Cyril of Alexandria,Q44079,37,376,444,60,Patriarchate of Alexandria from 412 to 444
Peter Chrysologus,Q328742,38,380,450,34,Bishop of Ravenna
Nestorius,Q185073,39,381,451,63,Christian theologian (c. 386–c. 451)
Theodoric I,Q110892,40,393,451,54,King of the Visigoths
Attila,Q36724,41,395,453,107,5th-century ruler of the Hunnic Empire
Flavius Aetius,Q185476,42,390,454,64,Roman general and statesman ( c. 390 – 454)
Theodoret,Q317029,43,393,457,38,5th century Byzantine theologian and bishop
