Q57673	Prime Minister of Iraq from 2006 to 2014
Q141317	Pro-Alid Arab revolutionary (c.622–687)
Q307312	First Caliph of the Almohads
Q248308	pre-Islamic Arab poet
Q754778	Member of the Supreme Council of the United Arab Emirates
Q25105	eighth of the Twelve Shia Imams (766–818)
Q2183167	Ruler of Sheikhdom of Kuwait from 1950 to 1965
Q2743660	Buyid shiite scholar
Q468432	Egyptian polymath, historian, sufi and jurist (1445–1505)
Q293679	Saudi Arabian businessman, investor and royal
Q205360	Iraqi journalist (born 1979)
Q186316	al-Qaeda terrorist leader (1951–2022), Muslim jurist and theologian (Sunni), surgeon
Q2140332	American musical group; country music band
Q18016138	Nigerian singer and songwriter
Q845156	British newsreader and journalist (1955–2023)
Q8564253	Nigerian businessperson and philanthropist
Q2067294	relative and companion of William I of England (the conquerer)
Q335889	British Field Marshal (1883-1963)
Q533610	King of Nubia before the 25th dynasty
Q312747	Spanish author (1852–1901)
Q44077	American actress (born 1981)
Q335697	31st prime minister of Australia since 2022
Q219420	American playwright (1928–2016)
Q335106	English soldier and politician (1608-1670)
Q185812	Spanish composer (1860-1909)
Q561231	German actor (1891-1960)
Q170071	German-American designer, painter, educator and typographer (1888–1976)
Q55008046	King of the Belgians from 1909 to 1934 (1875–1934)
Q3911	sixth king of the Belgians
Q61044	German theologian and philosopher (c.1320-1390)
Q40647	16th century Duke of Prussia
Q159646	Prince of Monaco (1848-1922)
Q40433	Duke of Prussia from 1525 to 1568
Q152245	Consort of Queen Victoria from 1840 to 1861 (1819–1861)
Q344735	American actor (1907–1981)
Q60059	German-Dominican friar and saint (c. 1200–1280)
Q174606	Italian composer and violinist (1671–1751)
Q152877	King of the Lombards
Q30863	German entrepreneur (1920-2014)
Q57771	German entrepreneur (1922-2010)
Q174438	United States Secretary of State from 1997 to 2001
Q212872	Greek lyric poet
Q505640	5th-century BC Greek sculptor
Q277365	Spanish footballer (1896-1964)
Q298850	ancient Greek poet
Q474235	American teacher, writer, philosopher, and reformer (1799-1888)
Q185696	American novelist (1832–1888)
Q154332	8th-century Northumbrian scholar, clergyman, poet, and teacher
Q310394	American actor (born 1936)
Q932891	Russian writer and critic (1886-1957)
Q514998	English writer and poet (1892–1962)
Q927573	American politician (1841-1915)
Q95133	American film director, screenwriter and producer (1918–1983)
Q520060	American-British stage actor (1807-1867)
Q2252	American astronaut (born 1930)
Q238090	Jewish writer and playwright of Yiddish, who worked in Russian Empire, Switzerland, Germany and the United States (1859-1916)
Q134644	Spanish poet (1898–1984)
Q131374	Russian-French chess player (1892–1946)
Q451455	Russian businessman
Q225193	Soviet weightlifter (1942-2011)
Q5590971	Nigerian mathematician (1932–2022)
Q455703	Brazilian writer (1829–1877)
Q848	Chilean politician and President (1868–1950)
Q80028	6th Pope of the Catholic Church from c. 107 to c. 115
Q207384	Prince regent of Kingdom of Serbia and later King of Yugoslavia 1921–34
Q160116	pope of the Catholic Church from 1159 to 1181
Q120180	Emperor of Russia from 1881 to 1894
Q39168	British military commander and field marshal; Governor General of Canada (1891-1969)
Q1972390	American baseball player (1887-1950)
Q152094	Empress consort of Russia (1872–1918)
Q325696	Russian mathematician (1896–1982)
Q232752	Greek musician
Q717251	Metropolitan of Russia
Q547702	Patriarch of Moscow and all Rus' (1877–1970)
Q315647	Mexican painter and muralist (1908–1974)
Q378158	President of Ecuador (1897 - 1901) / (1906 - 1914)
Q183279	Soviet-Russian physicist (1930–2019)
Q296244	Italian noble, dramatist and poet (1749–1803)
Q193062	Argentine politician
Q299156	Aragonese monarch (1157-1196)
Q360388	King of Galicia (c. 760 – 842)
Q235080	King of León (1065 to 1109), of Castile (1072 to 1109), and of Galicia (1071 to 1109)
Q312767	Castilian monarch
Q316115	King of León and Galicia from 1188 to 1230
Q47595	King of Castile from 1252 to 1284
Q18363	King of Spain from 1886 to 1931 (1886–1941)
Q54945	Swedish electrical engineer, plasma physicist and science fiction author (1908–1995), winner of the 1970 Nobel Prize for Physics
Q336798	Italian sculptor (1598–1654)
Q439081	Italian philosopher (1712-1764)
Q453251	American novelist (1832–1899)
Q547914	American novelist, short story writer (1909-1981)
Q2558262	Leader of the Ansar Allah since 2004
Q315377	tenth of the Twelve Shia Imams (828–868)
Q297285	Albanian ruler (1740–1822)
Q4695257	Pakistani novelist and poet (1910–1994)
Q214475	Dutch-American political activist and author
Q2590131	Egyptian vaudeville performance artist
Q255099	American television personality and retired professional boxer
Q360531	American actor
Q1937873	Persian illustrator and painter (1510–1572)
Q945436	King of the Songhai Empire
Q484255	American rock band
Q25649	American community organizer and writer (1909–1972)
Q157451	3rd President of the Republic of Azerbaijan (1923–2003)
Q57371	President of the Republic of Azerbaijan
Q168012	French pop singer
Q315031	seventh of the Twelve Imams (745–799 CE)
Q105962	French economist (1911–2010)
Q552007	American general, writer and philosopher (1738–1789)
Q255786	American actress and entertainer (1896–1964)
Q162005	American businessman and philanthropist, co-founder of Microsoft (1953–2018)
Q2567590	American minister, educator, writer (1760-1831)
Q553276	American actor, comedian, musician and presenter (1921–2000)
Q208408	American actor and comedian
Q1371393	Nigerian drummer and composer (1940–2020)
Q334846	British Army general (1861-1936)
Q83566	Chilean writer
Q560455	English actor (1566–1626)
Q240526	Dutch-born British painter (1836–1912)
Q207668	Spanish conquistador
Q334861	Arab Andalusian military leader and statesman (c.938-1002)
Q2839100	Ethiopian distance runner
Q337066	Portuguese nobleman and soldier
Q6312196	British virologist
Q55171	Spanish filmmaker (born 1949)
Q236013	Cuban prima ballerina assoluta and choreographer (1920-2019)
Q650877	Mexican film producer and telenovela creator (1917–2007)
Q344822	American trumpeter and recording industry executive (born 1935)
Q125879	American Christian philosopher (1921–2009)
Q572655	Mexican writer, journalist, teacher and politician (1834-1893)
Q184169	French Marxist philosopher (1918–1990)
Q55163	American filmmaker (1925–2006)
Q210900	Spanish conquistador, explorer and condottiero
Q712262	Mexican photographer (1902–2002)
Q178344	American experimental physicist, inventor, and professor (1911–1988)
Q712089	Brazilian hero and politician (1803-1880)
Q917295	fictional music group and media franchise
Q70530	German psychiatrist and neuropathologist (1864–1915)
Q837973	Founder/ Massina empire
Q452628	leader of the Shimabara Rebellion
Q257004	queen of the ancient Kushitic Kingdom of Meroë or Nubia
Q11443689	Japanese doctor of engineering and physicist (1960-), 2014 Nobel laureate in Physics
Q236939	English-Iranian news anchor and international correspondent
Q466627	Brazilian painter (1886-1973)
Q731840	Timorese (1937-2012)
Q312045	Egyptian pharaoh from 570 to 526 BC
Q453129	Italian luthier from Cremona
Q242023	Spanish flamenco dancer and singer
Q468364	Indian business tycoon (1932–2002)
Q298547	Indian businessman
Q12847	co-prince of the Eburones
Q3007862	Antiguan former cricketer
Q443953	American historian and writer (1936–2002)
Q62890	American physicist (1922-2015)
Q310413	American actor (1908–1993)
Q713461	Taiwanese singer and record producer
Q18771	Pharaoh of Egypt
Q19244	pharaoh of the Twelfth Dynasty of Egypt
Q157966	second Pharaoh of the Eighteenth dynasty of Egypt
Q158052	Egyptian Pharaoh of the 18th dynasty
Q42606	ninth Pharaoh of the Eighteenth dynasty of Egypt
Q661562	British Nazi collaborator (1912–1945)
Q452267	CIA analyst and Soviet spy (1941–2026)
Q470528	Emperor-in-exile of Ethiopia (1916–1997)
Q335063	British Army officer (1717–1797)
Q63831	Afghan communist revolutionary, politician and teacher (1929–1979)
Q319029	Israeli extremist and murder convict
Q220078	English novelist, poet, critic and teacher (1922-1995)
Q310176	British novelist
Q124060	Swiss Brethren minister from whom the Amish received their name
Q1943091	Filipino painter (1892-1972)
Q696929	Knight and the leader of the Taghlib tribe
Q470135	Indian freedom fighter, social worker (1914–2008)
Q266676	Japanese singer
Q313907	king of Macedonia from 393/2 to 370 BC
Q318000	Egyptian Pharaoh from 404 to 399 BC
Q482413	Korean independence activist (1879–1910)
Q360559	Chinese general and emperor of Yan
Q1274690	king of Âu Lạc from 257 BC to 179 BC
Q213484	ancient Greek lyric poet, notable for his drinking songs and hymns
Q720315	Hindi film producer, screenwriter and director (1915–1997)
Q320115	Indian actor, producer, director
Q732434	Indian English writer (1905–2004)
Q45747	Indian chess grandmaster
Q248893	eighth monarch of Siam from the Chakri dynasty as Rama VIII
Q3898003	American chemist
Q706235	Italian-American Costa Nostra mobster
Q173470	Byzantine Emperor from 491 to 518
Q1323876	Ghanaian painter and sculptor (born 1944)
Q83041	5th-century BC Greek philosopher
Q42458	pre-Socratic Greek philosopher
Q80612	Greek Ionian Pre-Socratic philosopher (c.586–c.526 BC)
Q174614	Italian football player and manager
Q291788	Tuvan politician, first non-royal female head of state
Q19242	American astronaut and lunar explorer (1933–2024)
Q265646	Danish handball player
Q212993	American political scientist (1936-2015)
Q169366	American physicist
Q485298	American actress (born 1968)
Q654375	English cricketer
Q3809328	Scottish magician (1814–1874)
Q230415	Australian stage and screen actress (1897–1992)
Q235066	American artist and musician (born 1947)
Q231923	African-American contralto (1897–1993)
Q432919	American playwright and writer (1888–1959)
Q83325	Canadian actress and model (born 1967)
Q25132	American filmmaker (born 1970)
Q190770	American physicist (1923-2020)
Q233898	American writer (1876–1941)
Q1189725	American internet entrepreneur
Q223687	American filmmaker (born 1969)
Q234921	Swedish actress (1935–2019)
Q208220	Japanese architect (born 1941)
Q315814	Uruguayan footballer
Q203623	Brazilian writer, musicologist and photographer (1893–1945)
Q561169	Brazilian poet, writer (1890–1954)
Q44368	French professional wrestler and actor (1946–1993)
Q315348	American artist (1935-2024)
Q62882	American entrepreneur, investor, and software engineer
Q2632451	Italian actress and writer
Q50005	Italian politician and statesman (1919–2013)
Q171312	Italian-American racing driver (born 1940)
Q171519	American racing driver
Q43399	religious figure of the Christian faith
Q972398	American close harmony singing group
Q472498	American historian (1863–1943)
Q2743544	American sportscaster and television personality
Q275937	British businessman and shipbuilder (1873–1912)
Q275955	American novelist (1923–1986)
Q310866	Russian playwright, author and poet (1871–1919)
Q218622	King of Imerina
Q219309	Soviet-Russian artistic gymnast  (1952–2011)
Q47561	Yugoslav novelist (1892–1975)
Q193058	3rd-century BC Greco-Roman dramatist and epic poet
Q44071	General Secretary of the Communist Party of the Soviet Union (1914–1984)
Q347767	Polish author (1909–1983)
Q958281	American FtM pornographic actor
Q231608	Catalan/Spanish opera singer
Q5664	Italian Early Renaissance painter
Q55168	Greek film director, screenwriter and film producer (1935–2012)
Q221310	Indonesian-born French singer-songwriter and television personality
Q1292424	American dentist (1855–1930)
Q44453	American professional wrestler and 1996 Olympic gold medalist
Q2728407	Maratha navy admiral
Q187258	Swedish physicist
Q236038	Italian painter (c.1532-1625)
Q32522	American actress (born 1969)
Q13476301	Brazilian singer, songwriter, dancer and actress
Q277703	Indian actress
Q769887	Brazilian poet and teacher (1884–1914)
Q216563	Canadian singer and actor
Q160165	The fourth Emperor of Russia (1730–1740)
Q151209	Queen, consort of Louis XIII, King of France, lived (1601-1666)
Q119702	Queen of Great Britain and Ireland from 1702 to 1714 (1665–1714)
Q25997	Russian poet, critic and translator (1855–1909)
Q230491	British fossil collector and palaeontologist (1799–1847)
Q23261	Japanese animator, film director, businessman
Q10920	decentralized, internet-based protest movement which organizes cyber attacks and demonstrations for freedom and against various forms of grievance
Q179025	French playwright (1910–1987)
Q221001	French cyclist (1934-1987)
Q17519	Iranian-American engineer and entrepreneur
Q369482	American actor, stand-up comedian, screenwriter and director
Q70995	German photographer and inventor (1846–1907)
Q229646	British analytic philosopher
Q1389574	1st Commissioner of the Federal Bureau of Narcotics (1892-1975)
Q1028466	American baseball player (1852–1922)
Q771877	Arabian warrior and poet
Q8991894	Greek basketball player
Q137739	American avant-garde composer, pianist, author and inventor (1900–1959)
Q298226	ancient Greek scientist and architect
Q170547	Egyptian Christian monk, hermit, and saint (died 356)
Q26625	American singer (born 1968)
Q241386	king of Macedonia
Q3356	king of the Seleucid Empire (175–164 BC)
Q204760	Macedonian general and regent
Q294599	Italian bishop; Pisan antipope (1410–1415)
Q179149	Greek philosopher, founder of Cynicism (c.446–c.366 BCE)
Q17520	Irish computer programmer (1921-2006)
Q5594	Italian Renaissance painter (1430–1479)
Q167477	Franciscan saint, Doctor of the Church (1195–1231)
Q299574	Prime Minister of Malaysia since 2022
Q559017	Indonesian poet (1922–1949)
Q11036795	Indonesian film director
Q1945914	Nigerian politician
Q1789876	Brazilian actor and comedian (1931–2012)
Q3109110	Chicana cultural theory, feminist theory, and queer theory (1942-2004)
Q731575	Japanese video game designer (born 1963)
Q313945	Japanese manga artist
Q216822	4th century BC Greek painter
Q322169	ruler of Lower Egypt during the Fifteenth Dynasty
Q2112549	American interior designer and fashion icon (1921–2024)
Q223161	British electronic musician (born 1971)
Q3545224	Filipino musical group
Q133855	French poet (1880–1918)
Q189375	2nd century Syrian Roman architect and engineer
Q192638	3rd century BC Greek epic poet
Q297040	1st century AD Greek Neopythagorean philosopher
Q43412	primary disciples of Jesus in the New Testament
Q560986	social-cultural anthropologist (born 1949)
Q39637	French inventor of airtight food preservation (1749–1841)
Q572741	British-American philosopher and writer
Q369675	American nurseryman and missionary (1774–1845)
Q153194	English physicist (1892–1965)
Q2621234	American cult leader (1931–1997)
Q349291	4th Egyptian pharaoh of the 26th dynasty
Q297667	President of Djibouti (1916-2006)
Q170512	2nd-century Numidian Latin-language writer, rhetorician and philosopher
Q119590	Soviet Russian musical group; rock band
Q188939	President of the Philippines from 1899 to 1902
Q1464	president of the Philippines from 2010 to 2016
Q222805	Filipino senator and governor of Tarlac (1932–1983)
Q466947	Filipina television and movie personality
Q623669	Indigenous Australian man forcibly abducted by European settlers to facilitate communication and relations between the Aborigines and the Europeans
Q935241	Ivorian musician, singer and record producer (1986-2019)
Q4128	French poet (1897–1982)
Q229686	Japanese figure skater
Q450696	Japanese photographer (born 1940)
Q719354	Japanese manga artist
Q188974	president of Argentina
Q887685	President of Guatemala (1918-2003)
Q3177456	Guatemalan politician
Q626440	Japanese male idol group
Q180671	Greek didactic poet (c. 315/310–240 BC)
Q317331	Greek statesman, general and Achaean League strategos (271-213 BC)
Q216943	president of Guatemala in 1951–54
Q705925	Canadian ice hockey player, coach and executive (1932–2015)
Q315202	American actor, director and comedian
Q234608	American photographer (1923–1971)
Q435816	Scottish physician, satirist and polymath in London (1667-1735)
Q159369	Roman Emperor from 395–408 (377-408)
Q28824	American jockey (1916–1997)
Q983422	English inventor of the photographic collodion process (1813–1857)
Q313489	English author and former politician (born 1940)
Q201323	Ancient Greek lyric poet
Q157578	American sculptor and artist of Ukrainian origin (1887–1964)
Q202001	4th-century BC Greek philosopher, mathematician, astronomer and statesman
Q7751	Italian painter of the late Renaissance (1527–1593)
Q170599	English musical group; rock band
Q371319	founder of the Sassanid Empire (224–242)
Q235509	Canadian American businesswoman
Q255630	American actress (1908–1990)
Q3606816	Prime Minister of New Zealand (2017–2023)
Q5262520	Indonesian singer, actress, and model (1975-1995)
Q313353	President of Abkhazia (1945-2010)
Q881158	Guatemalan politician (1904–1990)
Q705830	French philosopher and writer (1704-1771)
Q518796	Spanish dancer and singer (1898–1945)
Q53011	Italian film director and screenwriter (born 1940)
Q156810	Argentine pianist (1941-)
Q258991	Israeli singer (1955-1987)
Q603836	President of Panama (1901-1988)
Q49344	President of Costa Rica (1986–1990, 2006–2010)
Q434571	French academic and historian (1914-1984)
Q307494	Iraqi politician (1921-1966)
Q48900	Italian poet (1474–1533)
Q316833	1st-century BC Germanic ruler
Q577180	Japanese writer (1878-1923)
Q140188	Greek astronomer and mathematician (c.310–c.230 BC)
Q526297	Mexican journalist
Q209617	Haitian politician who became Haiti's first democratically elected president
Q335156	4th century BC Greek Peripatetic philosopher
Q451991	Japanese writer, courtier and waka poet
Q719841	Guatemalan musician
Q1395757	Soviet submarine officer who averted nuclear war (1926–1998)
Q108283	American actor, filmmaker (1934–2023)
Q294153	textile entrepreneur; developer of the spinning frame (known as the water frame)
Q448644	American composer of popular music (1905-1986)
Q115683	Bulgarian-born British writer (1895–1956)
Q182229	English actor, author, playwright and filmmaker (1868–1946)
Q157054	Italian fashion designer (1934–2025)
Q7281906	American poet (born 1947)
Q468224	Guatemalan President (1914-1957)
Q359996	Mexican actor (1912-1963)
Q469505	Bosnia and Herzegovina singer (1939–1976)
Q18674182	American librarian and author (1851-1911)
Q3378975	American meatpacking industrialist/founder: Chicago based Armour & Company (1832–1901)
Q734339	American boxer (1912–1988)
Q2172	cyclist from the United States
Q61633	German World War I U-boat commander (1866-1941)
Q32055	French entrepreneur
Q472535	Cuban-born American musician, actor and television producer (1917-1986)
Q470190	American actor (1923–2011)
Q70988	German poet and novelist
Q57236	German writer and novelist (1785-1859)
Q298237	army officer who betrayed America to the British during the Revolutionary War (1740–1801)
Q4273363	Nobel prize winning US scientist and engineer (born 1956)
Q436102	American general officer holding the ranks of General of the Army and General of the Air Force (1886-1950)
Q271032	British poet and cultural critic (1822–1888)
Q160640	French philosopher, sociologist, journalist, and political scientist (1905–1983)
Q449733	American psychologist
Q983548	Indian army general (1916-2005)
Q153739	Alsatian sculptor, painter, poet and abstract artist (1886–1966)
Q210207	Grand Prince of the Hungarians
Q1372167	Maricopa County Sheriff
Q215976	American actress (born 1968)
Q160223	Chilean pianist (1903-1991)
Q31845	2nd century Greek historian, official and philosopher
Q192592	American economist (1921–2017)
Q315913	first Parthian king (247–217 BC)
Q239376	Thai writer, model and actress
Q7633880	Malaysian singer and songwriter (1954-1992)
Q200193	second sultan of the Seljuk Empire (1063–1072)
Q189689	sixth Achaemenid emperor (475–424 BC)
Q524071	Swedish zoologist (1705-1735)
Q232128	5th century BC queen of Halicarnassus, Kos, Nisyros and Kalymnos
Q35498	president of the United States from 1881 to 1885
